layer,rank,node_id,feature,feature_type,position,token,influence,activation
0,1,0_14725_2,108434900,cross layer transcoder,2,at_pos_2[▁capital],0.7995227575302124,1.046875
0,2,0_9598_6,46075199,cross layer transcoder,6,at_pos_6[▁Dallas],0.7989990711212158,1.8203125
0,3,0_6882_4,23691285,cross layer transcoder,4,at_pos_4[▁state],0.7981584072113037,1.140625
0,4,0_3636_6,6615702,cross layer transcoder,6,at_pos_6[▁Dallas],0.7980530858039856,1.984375
0,5,0_8143_2,33166439,cross layer transcoder,2,at_pos_2[▁capital],0.796890139579773,0.9140625
0,6,0_8694_4,37805859,cross layer transcoder,4,at_pos_4[▁state],0.796038031578064,2.125
0,7,0_8008_2,32076044,cross layer transcoder,2,at_pos_2[▁capital],0.7956100106239319,0.89453125
0,8,0_8203_2,33656909,cross layer transcoder,2,at_pos_2[▁capital],0.793554425239563,0.76171875
0,9,0_12200_6,74438300,cross layer transcoder,6,at_pos_6[▁Dallas],0.7926804423332214,2.171875
0,10,0_9948_6,49496274,cross layer transcoder,6,at_pos_6[▁Dallas],0.7924610376358032,1.7734375
1,1,1_4791_7,11488819,cross layer transcoder,7,at_pos_7[▁is],0.7999405264854431,1.9453125
1,2,1_6032_7,18207593,cross layer transcoder,7,at_pos_7[▁is],0.7998362183570862,2.53125
1,3,1_13729_4,94277044,cross layer transcoder,4,at_pos_4[▁state],0.7977368831634521,2.28125
1,4,1_3123_6,4884373,cross layer transcoder,6,at_pos_6[▁Dallas],0.7976313829421997,1.25
1,5,1_11387_5,64860353,cross layer transcoder,5,at_pos_5[▁containing],0.7975258231163025,1.9140625
1,6,1_8397_5,35275798,cross layer transcoder,5,at_pos_5[▁containing],0.796783983707428,3.765625
1,7,1_9662_5,46701278,cross layer transcoder,5,at_pos_5[▁containing],0.7949636578559875,1.8828125
1,8,1_6587_2,21710753,cross layer transcoder,2,at_pos_2[▁capital],0.79442298412323,2.03125
1,9,1_468_3,110683,cross layer transcoder,3,at_pos_3[▁of],0.7940978407859802,1.421875
1,10,1_3216_3,5179369,cross layer transcoder,3,at_pos_3[▁of],0.7937719225883484,1.4765625
10,1,10_14819_7,109971854,cross layer transcoder,7,at_pos_7[▁is],0.7994181513786316,3.625
10,2,10_15616_5,122109367,cross layer transcoder,5,at_pos_5[▁containing],0.7961448431015015,3.6875
10,3,10_6642_7,22134520,cross layer transcoder,7,at_pos_7[▁is],0.7950716614723206,4.28125
10,4,10_14836_3,110224117,cross layer transcoder,3,at_pos_3[▁of],0.7863311767578125,10.375
10,5,10_13137_7,86441515,cross layer transcoder,7,at_pos_7[▁is],0.7821863889694214,5.78125
10,6,10_3960_7,7886395,cross layer transcoder,7,at_pos_7[▁is],0.7813683748245239,4.71875
10,7,10_16231_6,131909392,cross layer transcoder,6,at_pos_6[▁Dallas],0.7804286479949951,6.75
